Vehicle,year,sales
Porsche Cayenne S E-Hybrid,2013,NA
Porsche Cayenne S E-Hybrid,2014,112
Porsche Cayenne S E-Hybrid,2015,1163
Porsche Cayenne S E-Hybrid,2016,2111
Porsche Cayenne S E-Hybrid,2017,1574
Porsche Cayenne S E-Hybrid,2018,1022
Porsche Cayenne S E-Hybrid,2019,1140
Mercedes S550 Plug,2011,NA
Mercedes S550 Plug,2012,NA
Mercedes S550 Plug,2013,NA
Mercedes S550 Plug,2014,NA
Mercedes S550 Plug,2015,118
Mercedes S550 Plug,2016,550
Mercedes S550 Plug,2017,666
Mercedes S550 Plug,2018,96
Mercedes S550 Plug,2019,371
Volvo-XC90 Plug In,2011,NA
Volvo-XC90 Plug In,2012,NA
Volvo-XC90 Plug In,2013,NA
Volvo-XC90 Plug In,2014,NA
Volvo-XC90 Plug In,2015,86
Volvo-XC90 Plug In,2016,2015
Volvo-XC90 Plug In,2017,2358
Volvo-XC90 Plug In,2018,1387
Volvo-XC90 Plug In,2019,1710
Tesla Model X,2011,NA
Tesla Model X,2012,NA
Tesla Model X,2013,NA
Tesla Model X,2014,NA
Tesla Model X,2015,208
Tesla Model X,2016,19600
Tesla Model X,2017,21700
Tesla Model X,2018,26100
Tesla Model X,2019,19425
BMW X5,2011,NA
BMW X5,2012,NA
BMW X5,2013,NA
BMW X5,2014,NA
BMW X5,2015,892
BMW X5,2016,5995
BMW X5,2017,5349
BMW X5,2018,4434
BMW X5,2019,167
Hyundai Sonata Plug In,2011,NA
Hyundai Sonata Plug In,2012,NA
Hyundai Sonata Plug In,2013,NA
Hyundai Sonata Plug In,2014,NA
Hyundai Sonata Plug In,2015,15
Hyundai Sonata Plug In,2016,3000
Hyundai Sonata Plug In,2017,2254
Hyundai Sonata Plug In,2018,460
Hyundai Sonata Plug In,2019,456
Audi A3 Plug In,2011,NA
Audi A3 Plug In,2012,NA
Audi A3 Plug In,2013,NA
Audi A3 Plug In,2014,NA
Audi A3 Plug In,2015,NA
Audi A3 Plug In,2016,4280
Audi A3 Plug In,2017,2877
Audi A3 Plug In,2018,2597
Audi A3 Plug In,2019,437
BMW 3-series Plug-In,2011,NA
BMW 3-series Plug-In,2012,NA
BMW 3-series Plug-In,2013,NA
BMW 3-series Plug-In,2014,NA
BMW 3-series Plug-In,2015,NA
BMW 3-series Plug-In,2016,880
BMW 3-series Plug-In,2017,4141
BMW 3-series Plug-In,2018,2600
BMW 3-series Plug-In,2019,705
Mercedes GLE 550e,2011,NA
Mercedes GLE 550e,2012,NA
Mercedes GLE 550e,2013,NA
Mercedes GLE 550e,2014,NA
Mercedes GLE 550e,2015,NA
Mercedes GLE 550e,2016,231
Mercedes GLE 550e,2017,463
Mercedes GLE 550e,2018,966
Mercedes GLE 550e,2019,1509
BMW 7-series Plug-in,2011,NA
BMW 7-series Plug-in,2012,NA
BMW 7-series Plug-in,2013,NA
BMW 7-series Plug-in,2014,NA
BMW 7-series Plug-in,2015,NA
BMW 7-series Plug-in,2016,23
BMW 7-series Plug-in,2017,707
BMW 7-series Plug-in,2018,339
BMW 7-series Plug-in,2019,80
Mercedes C350We,2011,NA
Mercedes C350We,2012,NA
Mercedes C350We,2013,NA
Mercedes C350We,2014,NA
Mercedes C350We,2015,NA
Mercedes C350We,2016,171
Mercedes C350We,2017,817
Mercedes C350We,2018,1721
Mercedes C350We,2019,2172
Chevy Bolt,2011,NA
Chevy Bolt,2012,NA
Chevy Bolt,2013,NA
Chevy Bolt,2014,NA
Chevy Bolt,2015,NA
Chevy Bolt,2016,579
Chevy Bolt,2017,23297
Chevy Bolt,2018,18019
Chevy Bolt,2019,16313
Kia Optima Plug-in,2011,NA
Kia Optima Plug-in,2012,NA
Kia Optima Plug-in,2013,NA
Kia Optima Plug-in,2014,NA
Kia Optima Plug-in,2015,NA
Kia Optima Plug-in,2016,NA
Kia Optima Plug-in,2017,1512
Kia Optima Plug-in,2018,965
Kia Optima Plug-in,2019,350
Hyundai Ioniq EV,2011,NA
Hyundai Ioniq EV,2012,NA
Hyundai Ioniq EV,2013,NA
Hyundai Ioniq EV,2014,NA
Hyundai Ioniq EV,2015,NA
Hyundai Ioniq EV,2016,NA
Hyundai Ioniq EV,2017,432
Hyundai Ioniq EV,2018,345
Hyundai Ioniq EV,2019,739
Chrysler Pacifica Plug-in Hybrid,2011,NA
Chrysler Pacifica Plug-in Hybrid,2012,NA
Chrysler Pacifica Plug-in Hybrid,2013,NA
Chrysler Pacifica Plug-in Hybrid,2014,NA
Chrysler Pacifica Plug-in Hybrid,2015,NA
Chrysler Pacifica Plug-in Hybrid,2016,NA
Chrysler Pacifica Plug-in Hybrid,2017,2981
Chrysler Pacifica Plug-in Hybrid,2018,7062
Chrysler Pacifica Plug-in Hybrid,2019,5811
Cadillac CT6,2011,NA
Cadillac CT6,2012,NA
Cadillac CT6,2013,NA
Cadillac CT6,2014,NA
Cadillac CT6,2015,NA
Cadillac CT6,2016,NA
Cadillac CT6,2017,205
Cadillac CT6,2018,231
Cadillac CT6,2019,25
BMW 5-Series Plug in,2011,NA
BMW 5-Series Plug in,2012,NA
BMW 5-Series Plug in,2013,NA
BMW 5-Series Plug in,2014,NA
BMW 5-Series Plug in,2015,NA
BMW 5-Series Plug in,2016,NA
BMW 5-Series Plug in,2017,3759
BMW 5-Series Plug in,2018,8664
BMW 5-Series Plug in,2019,5442
MINI Countryman S E,2011,NA
MINI Countryman S E,2012,NA
MINI Countryman S E,2013,NA
MINI Countryman S E,2014,NA
MINI Countryman S E,2015,NA
MINI Countryman S E,2016,NA
MINI Countryman S E,2017,475
MINI Countryman S E,2018,1564
MINI Countryman S E,2019,494
Porsche Panamera 4 E-H,2011,NA
Porsche Panamera 4 E-H,2012,NA
Porsche Panamera 4 E-H,2013,NA
Porsche Panamera 4 E-H,2014,NA
Porsche Panamera 4 E-H,2015,NA
Porsche Panamera 4 E-H,2016,NA
Porsche Panamera 4 E-H,2017,NA
Porsche Panamera 4 E-H,2018,NA
Porsche Panamera 4 E-H,2019,NA
Tesla Model 3,2011,NA
Tesla Model 3,2012,NA
Tesla Model 3,2013,NA
Tesla Model 3,2014,NA
Tesla Model 3,2015,NA
Tesla Model 3,2016,NA
Tesla Model 3,2017,1770
Tesla Model 3,2018,139782
Tesla Model 3,2019,154840
Honda Clarity BEV,2011,NA
Honda Clarity BEV,2012,NA
Honda Clarity BEV,2013,NA
Honda Clarity BEV,2014,NA
Honda Clarity BEV,2015,NA
Honda Clarity BEV,2016,NA
Honda Clarity BEV,2017,1126
Honda Clarity BEV,2018,948
Honda Clarity BEV,2019,742
Volvo XC60 Plug In,2011,NA
Volvo XC60 Plug In,2012,NA
Volvo XC60 Plug In,2013,NA
Volvo XC60 Plug In,2014,NA
Volvo XC60 Plug In,2015,NA
Volvo XC60 Plug In,2016,NA
Volvo XC60 Plug In,2017,356
Volvo XC60 Plug In,2018,2267
Volvo XC60 Plug In,2019,1682
Volvo S90 Plug In,2011,NA
Volvo S90 Plug In,2012,NA
Volvo S90 Plug In,2013,NA
Volvo S90 Plug In,2014,NA
Volvo S90 Plug In,2015,NA
Volvo S90 Plug In,2016,NA
Volvo S90 Plug In,2017,112
Volvo S90 Plug In,2018,437
Volvo S90 Plug In,2019,407
Honda Clarity Plug-in,2011,NA
Honda Clarity Plug-in,2012,NA
Honda Clarity Plug-in,2013,NA
Honda Clarity Plug-in,2014,NA
Honda Clarity Plug-in,2015,NA
Honda Clarity Plug-in,2016,NA
Honda Clarity Plug-in,2017,903
Honda Clarity Plug-in,2018,18602
Honda Clarity Plug-in,2019,10728
Mitsubishi Outlander Plug In,2011,NA
Mitsubishi Outlander Plug In,2012,NA
Mitsubishi Outlander Plug In,2013,NA
Mitsubishi Outlander Plug In,2014,NA
Mitsubishi Outlander Plug In,2015,NA
Mitsubishi Outlander Plug In,2016,NA
Mitsubishi Outlander Plug In,2017,NA
Mitsubishi Outlander Plug In,2018,4166
Mitsubishi Outlander Plug In,2019,2810
Hyundai Ioniq Plug-In,2011,NA
Hyundai Ioniq Plug-In,2012,NA
Hyundai Ioniq Plug-In,2013,NA
Hyundai Ioniq Plug-In,2014,NA
Hyundai Ioniq Plug-In,2015,NA
Hyundai Ioniq Plug-In,2016,NA
Hyundai Ioniq Plug-In,2017,NA
Hyundai Ioniq Plug-In,2018,1590
Hyundai Ioniq Plug-In,2019,1765
Kia Niro Plug In,2011,NA
Kia Niro Plug In,2012,NA
Kia Niro Plug In,2013,NA
Kia Niro Plug In,2014,NA
Kia Niro Plug In,2015,NA
Kia Niro Plug In,2016,NA
Kia Niro Plug In,2017,NA
Kia Niro Plug In,2018,3389
Kia Niro Plug In,2019,4051
Mercedes GLC 350e Hybrid,2011,NA
Mercedes GLC 350e Hybrid,2012,NA
Mercedes GLC 350e Hybrid,2013,NA
Mercedes GLC 350e Hybrid,2014,NA
Mercedes GLC 350e Hybrid,2015,NA
Mercedes GLC 350e Hybrid,2016,NA
Mercedes GLC 350e Hybrid,2017,NA
Mercedes GLC 350e Hybrid,2018,567
Mercedes GLC 350e Hybrid,2019,2459
Jaguar I-Pace,2011,NA
Jaguar I-Pace,2012,NA
Jaguar I-Pace,2013,NA
Jaguar I-Pace,2014,NA
Jaguar I-Pace,2015,NA
Jaguar I-Pace,2016,NA
Jaguar I-Pace,2017,NA
Jaguar I-Pace,2018,393
Jaguar I-Pace,2019,2594
Hyundai Kona Electric,2011,NA
Hyundai Kona Electric,2012,NA
Hyundai Kona Electric,2013,NA
Hyundai Kona Electric,2014,NA
Hyundai Kona Electric,2015,NA
Hyundai Kona Electric,2016,NA
Hyundai Kona Electric,2017,NA
Hyundai Kona Electric,2018,NA
Hyundai Kona Electric,2019,1721
Subaru Crosstrek Hybrid,2011,NA
Subaru Crosstrek Hybrid,2012,NA
Subaru Crosstrek Hybrid,2013,NA
Subaru Crosstrek Hybrid,2014,NA
Subaru Crosstrek Hybrid,2015,NA
Subaru Crosstrek Hybrid,2016,NA
Subaru Crosstrek Hybrid,2017,NA
Subaru Crosstrek Hybrid,2018,NA
Subaru Crosstrek Hybrid,2019,880
Audi e-tron,2011,NA
Audi e-tron,2012,NA
Audi e-tron,2013,NA
Audi e-tron,2014,NA
Audi e-tron,2015,NA
Audi e-tron,2016,NA
Audi e-tron,2017,NA
Audi e-tron,2018,NA
Audi e-tron,2019,5369
Kia Niro EV,2011,NA
Kia Niro EV,2012,NA
Kia Niro EV,2013,NA
Kia Niro EV,2014,NA
Kia Niro EV,2015,NA
Kia Niro EV,2016,NA
Kia Niro EV,2017,NA
Kia Niro EV,2018,NA
Kia Niro EV,2019,1562
